Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
tl_robot_link0,0.0018902,-3.6902E-05,0.048157,0,0,0,0.43435,0.00088719,7.0508E-09,3.8148E-05,0.00076562,1.1569E-07,0.00087763,0,0,0,0,0,0,package://TCB705_05N_urdf/meshes/tl_robot_link0.STL,0.86667,0.86667,0.8902,1,0,0,0,0,0,0,package://TCB705_05N_urdf/meshes/tl_robot_link0.STL,,2.32.04.07-000049-0.1-1;TCB65底座组件V2-2/2.05.00.76-000020-0.1-1;TCB65底座组件V2-2/淘宝_双螺母航插座(ZCG 2B 26芯)V2-1;TCB65底座组件V2-2/淘宝_双螺母航插座(ZCG 2B 7芯)V2-1;TCB65底座组件V2-2/内置控制器V2-2/3D_cobot-io-A1_0-000V2-1;TCB65底座组件V2-2/WIFI天线V2-1;2.05.00.76-000025-0.1-1;2.05.00.76-000026-0.1-1,tl_robot_link0,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
tl_robot_link1,3.7218E-06,-0.014376,0.067933,0,0,0,0.14367,0.00037046,1.6893E-08,-4.6083E-08,0.00039142,5.9077E-05,0.00015862,0,0,0,0,0,0,package://TCB705_05N_urdf/meshes/tl_robot_link1.STL,1,1,1,1,0,0,0,0,0,0,package://TCB705_05N_urdf/meshes/tl_robot_link1.STL,,2.05.00.76-000011-1;2.05.00.76-000026-0.1-2;2.05.00.76-000025-0.1-2,tl_robot_link1,tl_robot1,tl_robot_joint1,revolute,0,0,0.1224,0,0,0,tl_robot_link0,0,0,1,0,0,-3.14,3.14,,,,,,,,
tl_robot_link2,5.9053E-06,-0.055346,0.0035842,0,0,0,0.33033,0.00090573,1.3641E-08,-3.5043E-08,0.0003177,-0.00017413,0.00093478,0,0,0,0,0,0,package://TCB705_05N_urdf/meshes/tl_robot_link2.STL,1,1,1,1,0,0,0,0,0,0,package://TCB705_05N_urdf/meshes/tl_robot_link2.STL,,2.05.00.76-000012-1;2.05.00.76-000027-0.1-1;2.05.00.76-000028-0.1-1,tl_robot_link2,tl_robot2,tl_robot_joint2,revolute,0,0.0155,0.1196,-1.5708,0,0,tl_robot_link1,0,0,1,0,0,-3.14,3.14,,,,,,,,
tl_robot_link3,-0.000132757352653707,0.0133462171351898,0.0637589760194879,0,0,0,0.302012540986821,0.000691869705790603,-5.09561031816092E-07,2.6670085177538E-06,0.000719388437057822,-0.000114231544456731,0.000253132686095938,0,0,0,0,0,0,package://TCB705_05N_urdf/meshes/tl_robot_link3.STL,1,1,1,1,0,0,0,0,0,0,package://TCB705_05N_urdf/meshes/tl_robot_link3.STL,,2.05.00.76-000013-1;2.05.00.76-000027-0.1-2;2.05.00.76-000028-0.1-4,tl_robot_link3,tl_robot3,tl_robot_joint3,revolute,0,-0.149,-0.0155,1.5708,0,0,tl_robot_link2,0,0,1,0,0,-3.14,3.14,,,,,,,,
tl_robot_link4,-1.1919E-05,0.056456,0.00097888,0,0,0,0.24893,0.0005647,8.1382E-08,-3.1473E-09,0.00016557,0.00010863,0.00057614,0,0,0,0,0,0,package://TCB705_05N_urdf/meshes/tl_robot_link4.STL,0.86667,0.86667,0.8902,1,0,0,0,0,0,0,package://TCB705_05N_urdf/meshes/tl_robot_link4.STL,,2.05.00.76-000014-1;2.05.00.76-000030-0.1-1;2.05.00.76-000029-0.1-1,tl_robot_link4,tl_robot4,tl_robot_joint4,revolute,0,-0.0165,0.121,1.5708,0,0,tl_robot_link3,0,0,-1,0,0,-3.14,3.14,,,,,,,,
tl_robot_link5,7.3099E-05,-0.01274,0.050866,0,0,0,0.074325,9.8328E-05,1.1534E-08,8.0626E-10,0.00010098,2.0685E-05,4.5428E-05,0,0,0,0,0,0,package://TCB705_05N_urdf/meshes/tl_robot_link5.STL,1,1,1,1,0,0,0,0,0,0,package://TCB705_05N_urdf/meshes/tl_robot_link5.STL,,2.05.00.76-000015-1;2.05.00.76-000030-0.1-2;2.05.00.76-000029-0.1-2,tl_robot_link5,tl_robot5,tl_robot_joint5,revolute,0,0.1425,-0.0165,-1.5708,0,0,tl_robot_link4,0,0,1,0,0,-3.14,3.14,,,,,,,,
tl_robot_link6,2.8242E-06,-0.038846,0.0038434,0,0,0,0.066035,8.4574E-05,-2.4508E-08,-1.1793E-08,4.1686E-05,-1.7128E-05,8.4254E-05,0,0,0,0,0,0,package://TCB705_05N_urdf/meshes/tl_robot_link6.STL,1,1,1,1,0,0,0,0,0,0,package://TCB705_05N_urdf/meshes/tl_robot_link6.STL,,2.05.00.76-000016-1;2.05.00.76-000029-0.1-3;2.05.00.76-000030-0.1-3,tl_robot_link6,tl_robot6,tl_robot_joint6,revolute,0,0.0115,0.0875,-1.5708,0,0,tl_robot_link5,0,0,1,0,0,-3.14,3.14,,,,,,,,
tl_robot_link7,-1.0794E-05,-0.00010862,0.02885,0,0,0,0.16704,8.1122E-05,2.2269E-07,-4.7782E-09,8.2788E-05,1.8211E-07,9.2705E-05,0,0,0,0,0,0,package://TCB705_05N_urdf/meshes/tl_robot_link7.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://TCB705_05N_urdf/meshes/tl_robot_link7.STL,,605 J7装配-1/2.05.00.76-000017-1;605 J7装配-1/ZGG-1B-302-1;605 J7装配-1/2.05.00.01-000408-V1.2V1.3V1.4Reference-1;605 J7装配-1/2.05.00.01-000410-V1.2V1.3V1.4Reference-1;605 J7装配-1/ZGG-1B-316Reference-2;605 J7装配-1/2.05.00.01-000411-V1.2V1.3V1.4Reference-1;605 J7装配-1/2.05.00.76-000018-0.1-1,tl_robot_link7,tl_robot7,tl_robot_joint7,revolute,0,-0.1015,-0.0115,1.5708,0,0,tl_robot_link6,0,0,1,0,0,-3.14,3.14,,,,,,,,
